epoch,loss,val_loss,val_acc
0,0.8396517907620255,0.6510006080443863,tensor(0.6307)
1,0.5984940871134473,0.554373551445723,tensor(0.6323)
2,0.5527681566373753,0.5146653924447289,tensor(0.6682)
3,0.5253393420581911,0.5054844106391048,tensor(0.6796)
4,0.507841021405931,0.4979859570111186,tensor(0.6858)
5,0.4981880254107626,0.493133460862796,tensor(0.6927)
6,0.4913133184925378,0.48794260742613776,tensor(0.6966)
7,0.48614670479667127,0.4858339347711006,tensor(0.7008)
8,0.48170822314298173,0.4849943176859938,tensor(0.7021)
9,0.47842508330819655,0.4821852607983749,tensor(0.7038)
10,0.47550658548636693,0.4793778632632282,tensor(0.7073)
11,0.4716903914440709,0.47593428984551794,tensor(0.7103)
12,0.4692506497485797,0.4760242689881006,tensor(0.7083)
13,0.46774565526945167,0.4749343028659727,tensor(0.7113)
14,0.465851971463317,0.47492003508920966,tensor(0.7073)
15,0.4645759642707582,0.4741299671605594,tensor(0.7132)
16,0.4632900079156213,0.4737047766005623,tensor(0.7139)
17,0.46220698393577464,0.47315139468109046,tensor(0.7126)
18,0.4609055456874032,0.4724858120253969,tensor(0.7152)
19,0.46004187263438984,0.47165717770380455,tensor(0.7132)
20,0.45940534875015643,0.47220220656223827,tensor(0.7181)
21,0.4586216853065553,0.4715902920551051,tensor(0.7145)
22,0.45794746372089107,0.4713841823535876,tensor(0.7162)
23,0.4573868137782783,0.4712146062640926,tensor(0.7155)
24,0.45708243774939905,0.47083751815956143,tensor(0.7171)
25,0.45602392751668835,0.4703474815868048,tensor(0.7178)
26,0.4554281197305994,0.4701557023295765,tensor(0.7171)
27,0.45518921230589976,0.4700417781148416,tensor(0.7162)
28,0.4548343346130595,0.47020654139666535,tensor(0.7178)
29,0.4545929746954515,0.4698947359842733,tensor(0.7168)
30,0.4541118425023886,0.4699756741329274,tensor(0.7168)
31,0.4537823863363966,0.46967520643797434,tensor(0.7168)
32,0.4536699263734491,0.46962881049363103,tensor(0.7178)
33,0.4534473049698996,0.4695571312896579,tensor(0.7171)
34,0.45316402281089085,0.4693806845251149,tensor(0.7175)
35,0.45310849379170776,0.46949677930181605,tensor(0.7168)
36,0.45278705663821045,0.46923826797751383,tensor(0.7158)
37,0.45269759167076906,0.4691887135704034,tensor(0.7158)
38,0.45255778469813784,0.4691743343630973,tensor(0.7162)
39,0.4524043698295295,0.46915517040022436,tensor(0.7158)
40,0.45228399873557723,0.4690828266968346,tensor(0.7158)
41,0.45220776376288635,0.469168396894539,tensor(0.7171)
42,0.4521093832338031,0.4690164788512188,tensor(0.7162)
43,0.4520059507978293,0.46909246096603247,tensor(0.7168)
44,0.45192988681170915,0.46902584951814585,tensor(0.7171)
45,0.4518638516717012,0.4689856015060699,tensor(0.7171)
46,0.45181444194927495,0.469004293153181,tensor(0.7168)
47,0.45174263196512693,0.469058199282766,tensor(0.7171)
48,0.4516993696401792,0.46894559346832226,tensor(0.7171)
49,0.45166253304598186,0.4689155737299709,tensor(0.7171)
